#,#,#,(um),(um),(um),(um),(Jy),(F/1),#,#
Facility,Instrument,Band_name,quoted_wl,wl_iso,wl_min,wl_max,ZP,Uncertainty,RSRF_file,Kcor_file
APEX,LABOCA,870um,870,870,806,958,0.0,NA,laboca_passband_normalized.txt,NA
Herschel,SPIRE,PLW,500,496,391,691,0.0,0.055,Herschel_SPIRE.PLW_ext.dat,ccSPIRE500.txt
Herschel,SPIRE,PMW,350,347,282,425,0.0,0.055,Herschel_SPIRE.PMW_ext.dat,ccSPIRE350.txt
Herschel,SPIRE,PSW,250,247,199,299,0.0,0.055,Herschel_SPIRE.PSW_ext.dat,ccSPIRE250.txt
Herschel,PACS,R,160,167,118,244,0.1,NA,Herschel_Pacs.red.dat,ccPACS160.txt 
Herschel,PACS,G,100,103,79.1,135,0.4,NA,Herschel_Pacs.green.dat,NA
Herschel,PACS,B,70,71.9,55.7,97.7,0.8,NA,Herschel_Pacs.blue.dat,ccPACS70.txt
Spitzer,MIPS,24um,24,23.84,19.89,30.94,7.1,NA,Spitzer_MIPS.24mu.dat,ccMIPS24.txt 
MSX,WISE,W4,22,22.09,19.52,27.91,8.4,NA,WISE_WISE.W4.dat,ccWISE22.txt
MSX,WISE,W3,12,11.56,7.443,17.26,31.7,NA,WISE_WISE.W3.dat,ccWISE12.txt
MSX,WISE,W2,4.6,4.603,3.963,5.341,171.8,NA,WISE_WISE.W2.dat,NA
MSX,WISE,W1,3.4,3.353,2.754,3.872,309.5,NA,WISE_WISE.W1.dat,NA
WISE,SPIRITIII,E,21.3,21.32,17.79,26.73,8.75,0.15,MSX_MSX.E.dat,ccMSXE21.txt 
WISE,SPIRITIII,D,14.7,14.65,13.14,17.20,18.29,0.9,MSX_MSX.D.dat,ccMSXD15.txt 
WISE,SPIRITIII,C,12.1,12.13,10.99,13.34,26.51,0.8,MSX_MSX.C.dat,ccMSXC12.txt 
WISE,SPIRITIII,A,8.3,8.28,5.972,11.09,58.55,0.9,MSX_MSX.A.dat,ccMSXA8.txt 
Spitzer,IRAC,I4,8.0,7.927,6.299,9.588,62.0,NA,Spitzer_IRAC.I4.dat,NA
Spitzer,IRAC,I3,5.8,5.739,4.898,6.509,113.8,NA,NA,NA
Spitzer,IRAC,I2,4.5,4.505,3.917,5.056,179.0,NA,NA,NA
Spitzer,IRAC,I1,3.6,3.557,3.13,3.961,277.2,NA,NA,NA
